ID,Nom,LieuDit,Bassin,DateDebut,DateFin,Type,Altitude,Latitude,Longitude
8324002,NEUVIZY,VLGE,H125,1991-06-01 00:00:00,2003-06-30 00:00:00,2,212,49.62833333333333,4.533333333333333
8353001,RANCENNES,Les Hayvis,NR,2014-09-18 00:00:00,,1,162,50.118833333333335,4.813166666666667
8354002,RAUCOURT-ET-FLABA (RAUCOURT),COLL.,B501,1991-06-01 00:00:00,2003-03-31 00:00:00,2,200,49.605,4.963333333333333
8355001,REGNIOWEZ (REGNIOWEZ SA),AEROD.DE-ROCROI,H001,1991-10-01 00:00:00,1999-04-12 00:00:00,2,350,49.91333333333333,4.428333333333334
8362003,RETHEL,LYC.AGRIC.,H128,1991-06-01 00:00:00,2004-04-30 00:00:00,2,115,49.516666666666666,4.373333333333333
8366002,ROCQUIGNY,CHATEAU-D'EAU,H010,1991-10-01 00:00:00,1998-04-30 00:00:00,2,250,49.71666666666667,4.236666666666666
8367002,ROCROI,PETIT HONGREAU,B710,1999-04-01 00:00:00,,1,382,49.91866666666667,4.53
8381002,SAINT-GERMAINMONT (ST GERMAINMONT),SUCR.,H135,1984-08-01 00:00:00,2003-03-31 00:00:00,2,80,49.5,4.133333333333334
8401001,SAULCES-CHAMPENOISES,BOURG,H136,2004-03-18 00:00:00,,1,147,49.42383333333333,4.4925
8409003,SEDAN (SEDAN-SPC),SPC-223-Sedan,B502,2004-08-01 00:00:00,,5,155,49.7,4.935
8419001,SIGNY-L'ABBAYE,TIVOLI MF,H131,1951-01-01 00:00:00,,2,180,49.686,4.418833333333334
8420002,SIGNY-LE-PETIT (SIGNY-LE-PETIT_SAPC),,H001,2007-07-25 00:00:00,,2,309,49.9135,4.288166666666666
8439002,TANNAY,COOP.AGRIC.,B513,1991-10-01 00:00:00,2003-02-28 00:00:00,2,165,49.516666666666666,4.81
8458001,TOURTERON,LA-MARONNERIE,H124,1992-07-01 00:00:00,2003-03-31 00:00:00,2,158,49.54,4.62
9022001,ARVIGNA,LE CASTEL,O158,1987-08-01 00:00:00,2010-05-01 00:00:00,2,370,43.057833333333335,1.7291666666666667
9023002,ASCOU (ASCOU LAVAIL),LAVAIL,O104,1954-01-01 00:00:00,,2,1090,42.72533333333333,1.8885
9023400,ASCOU (Ascou Pailheres),,O104,1986-02-01 00:00:00,,4,1500,42.73033333333333,1.954
9024004,ALBIES (ASTON),PLATEAU DE BEILLE,O108,2002-06-01 00:00:00,,1,1781,42.72416666666667,1.691
9027001,AUGIREIN,LE JARDIN DE PIERRE,O046,1989-08-01 00:00:00,,2,655,42.930166666666665,0.92
9029001,AULUS-LES-BAINS,HOTEL DU PARC,O035,1899-07-01 00:00:00,2019-01-01 00:00:00,4,733,42.79383333333333,1.3338333333333334
9029400,USTOU (Guzet),,O031,1983-12-24 00:00:00,,4,1384,42.77883333333333,1.3008333333333333
9029402,AULUS-LES-BAINS (Aulus les Bains),,O035,2001-08-01 00:00:00,2015-06-30 00:00:00,4,733,42.79383333333333,1.3338333333333334
